file_name,program_name,start_time,end_time,transcription,start_time_ms,end_time_ms,avg_confidence
00012.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,106.17,113.52,المصور بعدها ودا الشريط أو ودا الصور للاتحاد البرازيلي وطبعًا الاتحاد البرازيلي ب دوره راح بعثها,106170,113520,0.99
00014.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,127.78,134.74,هذا بودكاست الفجر من ثمانية، بودكاست فجر كل يوم نسرد لكم فيه سياق الأخبار اللي تهمكم، معكم أنا تركي القحطاني,127780,134740,0.99
00016.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,159.49,163.09,خلال الثلاثة شهور الماضية لو تلاحظ يا شهاب فاز اللاعب,159490,163090,0.97
00018.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,167.47,171.13,الأولى جائزة أفضل لاعب في أوروبا وجائزة أفضل لاعب في العالم،,167470,171130,0.99
00019.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,171.94,175.75,هذا الفوز التاريخي مثل دافع قوي للاعب قبل مونديال,171940,175750,1.0
00020.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,175.75,179.44,قطر خصوصًا بعد أداءه الاستثنائي مع نادي ريال مدريد,175750,179440,1.0
00021.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,179.86,183.49,وفوزه بالدوري الأسباني ودوري أبطال أوروبا لكن رغم كل هذه,179860,183490,0.99
00022.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,183.49,187.24,النجاحات مع ريال مدريد إلا إن بنزيما كان في باله هدف,183490,187240,0.98
00023.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,187.51,191.26,أهم اللي هو المشاركة في كأس العالم لدرجة إن البعض,187510,191260,1.0
00025.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,195.49,199.27,عشان ما يلعب مباريات ريال مدريد اللي ممكن تعرضه لإصابة,195490,199270,0.95
00026.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,199.27,202.99,تمنعه من المشاركة في كأس العالم لكن هذا الشيء بالنهاية ما خدم,199270,202990,0.97
00027.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,202.99,207.07,بنزيما فبعد تحضير وترقب طويل للمونديال أعلن,202990,207070,0.97
00028.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,207.07,210.94,الاتحاد الفرنسي لكرة القدم إن بنزيما ما راح يلعب بسبب الإصابة,207070,210940,0.96
00029.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,210.94,214.66,في الفخذ، فرحة بنزيما وفوزه بالكورة الذهبية ما اكتملت,210940,214660,0.99
00032.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,225.99,229.87,الفرنسي غاب أكثر من مرة عن المونديال وبطولات دولية بسبب,225990,229870,0.95
00036.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,241.47,245.46,المدرب استبعده بسبب العنصرية وبعد ثلاثة سنوات صعد,241470,245460,0.99
00037.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,245.46,249.18,ضد فرنسا واتحاد كرة القدم هناك وقال إنه مستعد يلعب مع أي,245460,249180,1.0
00040.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,259.23,270.18,لما تم استبعاده من قبل المدرب وقتها علاقته مع المنتخب الفرنسي ما كانت متوترة بس الأسباب كانت فنية بحتة واللي أكد هذا الشيء هو إن بنزيما في تلك الفترة ما كان,259230,270180,0.88
00044.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,308.21,317.93,لكن بعد أربعة سنوات صنع بنزيما لنفسه مكان ثابت في المنتخب الفرنسي وشارك في كأس العالم اللي استضافته البرازيل عام 2014 إلا إن,308210,317930,0.99
00045.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,317.93,327.77,فرحته بالمونديال ما اكتملت فبعد سنة تم إقصاءه من اللعب للمنتخب الفرنسي وغاب بعد كذا عن مونديال البرازيل ست سنوات عن المنتخب فوت,317930,327770,0.99
00047.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,337.94,347.78,كان سببه فني بحت ولكن لأن بنزيما تورط في 2015 في قضية ابتزاز ضد زميله بالمنتخب ماتيو فالبوينا اللي ادعى,337940,347780,0.99
00048.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,347.78,357.56,إن بنزيما دفع لأشخاص مبالغ لابتزازه وتهديده بنشر شريط جنسي فاضح له وبسبب هذه القضية تمت محاكمته وإدانته قبل سنة,347780,357560,0.96
00050.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,362.84,365.9,بس أعتقد بنزيما كان له موقف من القضايا هذه كلها,362840,365900,1.0
00051.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,366.38,376.34,صحيح لأن فيه مقابلة له في 2016 لمح إن استبعاده من تشكيلة المنتخب ما لها علاقة بقضية الابتزاز وإن السبب الحقيقي هي عنصرية ضده بسبب,366380,376340,0.99
00052.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,376.34,386.03,أصوله العربية وقال بنزيما إن مدرب المنتخب ديدييه ديشامب رضخ لضغوط من بعض العنصريين لمنعه من اللعب في بطولة أوروبا 2016,376340,386030,0.99
00053.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,386.42,396.35,وقال بنزيما إن هذه الضغوط جت متزامنة مع انتصارات حزب اليمين المتطرف المناهض للهجرة في الانتخابات الفرنسية لكن بعد سنتان من هذه المقابلة ما,386420,396350,0.99
00054.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,396.35,406.64,تغير شيء في علاقة بنزيما مع المنتخب بل زاد التوتر واستبعده ديشامب من تشكيلة المنتخب في كأس العالم 2018 اللي صارت في روسيا وهذه,396350,406640,0.99
00055.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,406.64,416.3,المرة أخذ قرار الاستبعاد زخم سياسي بعد ما تدخل الرئيس الفرنسي إيمانويل ماكرون ودعم قرار المدرب وقال إن بنزيما لاعب جيد,406640,416300,0.96
00056.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,416.3,426.12,ومتألق مع ريال مدريد وعنده موهبة كبيرة لكن حتى الموهبة القوية ممكن تتسبب في إفساد الفريق كله وعشان كذا مهم إن المدرب,416300,426120,0.99
00057.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,426.14,435.95,يحافظ على استقرار المنتخب حتى لو كان على حساب كريم بنزيما إلا إنه بعد سنوات من منعه من اللعب مع فرنسا رجع بنزيما بقوة في بطولة أوروبا,426140,435950,0.99
00058.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,435.95,440.21,2020 لما استدعاه مدرب المنتخب الفرنسي بعد صراع سنوات بينهم,435950,440210,0.99
00061.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,471.29,482.18,ويسمح له بالمشاركة في كأس العالم لقطر لكن رغم قرار المدرب بضمه إلا إن بنزيما راح يغيب عن مونديال قطر بسبب الإصابة وممكن يكون مونديال البرازيل,471290,482180,0.99
00063.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,493.13,503.63,المنافسة بتكون أصعب ومع ذلك فإ صابة بنزيما ما هي ضربة له ولطموحاته كلاعب بس لكنها ضربة للمنتخب الفرنسي اللي يعاني من غياب لاعبين,493130,503630,0.99
00067.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,542.61,555.39,الأخيرة تصل 7.5 مليار دولار وهي الأكبر بتاريخها بزيادة أكثر من مليار دولار عن أرباح الفترة اللي قبلها وحسب الفيفا الأرباح خلال الفترة زادت بشكل كبير بعد عقود الرعاية الكبيرة اللي وقعتها,542610,555390,0.99
00068.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,566.08,571.33,أنتج هذه الحلقة عمر العمران وأشرفت عليها سحر سليمان وقدمتها أنا تركي القحطاني,566080,571330,0.99
00069.wav,لماذا تغرق جدة باستمرار؟.mp3,5.52,11.13,يعني عندي شعور اللي فيه باقي مباراة واحدة إن شاء الله أننا ضامنين فنقول يارب,5520,11130,0.99
00070.wav,لماذا تغرق جدة باستمرار؟.mp3,11.31,15.21,إن شاء الله أن أشوف غريب يوم أننا ندخل البطولة كان هدف,11310,15210,0.99
00072.wav,لماذا تغرق جدة باستمرار؟.mp3,28.37,33.32,هذا بودكاست الفجر من ثمانية، بودكاست فجر كل يوم نشوفكم فيه سياق الإخبار اللي تهمكم معك أنا عمر العمران,28370,33320,0.99
00074.wav,لماذا تغرق جدة باستمرار؟.mp3,43.94,48.86,جدة نزول كميات أمطار هي الأكبر بتاريخها حتى أن اللي نزل عليها في ست ساعات بس مثل,43940,48860,1.0
00075.wav,لماذا تغرق جدة باستمرار؟.mp3,55.91,64.61,وبينما قبل هذا اليوم أكبر كمية أمطار نزلت بيوم واحد في السعودية كانت 135 مليمتر في جيزان كسرت هذا الأسبوع جنوب جدة الرقم 182,55910,64610,0.96
00076.wav,لماذا تغرق جدة باستمرار؟.mp3,64.61,78.11,مليمتر، وبسبب هذه الكمية الغير مسبوقة من الأمطار أجتاحت السيول عدد كبير من الأحياء السكنية وتضررت السيارات و البيوت فيها بشكل كبير، لكن,64610,78110,0.99
00078.wav,لماذا تغرق جدة باستمرار؟.mp3,87.26,96.08,هي ضعف الكمية اللي تنزل على جدة بسنة كاملة وتوفى وقتها بسببها مئة وستة عشر شخص وانهدم أكثر من ثمانية آلاف بيت أو حتى في 2011 لما غطت السيول,87260,96080,0.99
00079.wav,لماذا تغرق جدة باستمرار؟.mp3,96.08,104.78,أكثر من ثمانين بالمئة من أحياء جدة و وصل مستوى المطر بعضها 120 مليمتر ، وتجاوزت كمية الأمطار وقتها نصف إستهلاك السعودية من المياه بسنة كاملة,96080,104780,0.99
00082.wav,لماذا تغرق جدة باستمرار؟.mp3,130.16,133.16,إرتفاعه لأكثر من خمسمائة متر ومن غربها البحر الأحمر,130160,133160,1.0
00085.wav,لماذا تغرق جدة باستمرار؟.mp3,202.31,214.16,سدود أو ترك السيول تصرف في مجراها هي حاولت تسويهم جدة بعد أزمة 2011 لمّا أعلنت بعد الأزمة مباشرة عن مشروع إنشاء السدود إنتهت بعدها بأقل من نصف سنة ، وأيضًا عن توقيع عقد مع شركة إيكوم الأمريكية,202310,214160,0.99
00086.wav,لماذا تغرق جدة باستمرار؟.mp3,214.16,226.1,بأكثر من 640 مليون ريال لإنشاء شبكة تصريف السيول بالمدينة ورغم أن الإعلام وقتها قال هذه الشبكة بتنتهي بأقل من ثلاث سنين ، إلا أن أمانة جدة في آخر 2021 قالت إن من بين ستة مشاريع لتصريف مياه السيول من,214160,226100,0.99
00088.wav,لماذا تغرق جدة باستمرار؟.mp3,253.95,263.85,بعد أزمة سيول 2011 نشر البنك السعودي الفرنسي تقديره بأن الخسائر بسبب السيول تجاوزت ستة عشر مليار ريال وأن ربعها ما يغطيها التأمين وخلاف الخسائر المادية فكل,253950,263850,0.91
00089.wav,لماذا تغرق جدة باستمرار؟.mp3,263.85,274.17,أزمة من الأزمات الثلاثة بالثلاثة عشر سنة الماضية خلفت مئات الشهداء وعدد أكبر من المصابين، و رغم المشكلة الجغرافية اللي تعاني منها جدة و وجودها بين الجبل و البحر و على مجاري الأودية بينهم إلا,263850,274170,0.99
00090.wav,لماذا تغرق جدة باستمرار؟.mp3,274.17,283.8,إنها تحتاج إلى تزيد عدد سدود عشان تغطي بقية الأودية بعد ما ساهم الموجود منها بتخفيف الأزمة، هذا الأسبوع بشكل كبير وطبعًا بالإضافة لاستكمال مشاريع شبكة تصريف السيول اللي بدأت من 2011,274170,283800,0.99
00091.wav,لماذا تغرق جدة باستمرار؟.mp3,302.3,305.33,جهاز إتصال متقدم إلى عدة شركات صينية وعلى,302300,305330,0.99
00092.wav,لماذا تغرق جدة باستمرار؟.mp3,308.15,311.15,الروسية في أوكرانيا ولجوء أكثر من مئة ألف لاجئ,308150,311150,0.99
00094.wav,لماذا تغرق جدة باستمرار؟.mp3,319.82,322.82,الخبر الثالث آبل تواجه مشكلة كبيرة جديدة في سلسلة,319820,322820,1.0
00095.wav,ثمانية لحظات غيّرت 2022.mp3,8.75,16.85,تلقاها مليانة أحداث بتكون هامة في كتاب تاريخ البشر على الكوكب. بين,8750,16850,0.99
00096.wav,ثمانية لحظات غيّرت 2022.mp3,16.85,23.63,أحداث طوّرتنا وخلتنا نتقدم خطوة قدام. وبين أحداث مأساوية رجّعت نا,16850,23630,0.99
00097.wav,ثمانية لحظات غيّرت 2022.mp3,26.36,34.97,وبين أحداث حسينا بتأثيرها مباشرة . أو احداث مثل تأثير الفراشة، نحس فيها في 2023 .,26360,34970,0.99
00099.wav,ثمانية لحظات غيّرت 2022.mp3,53.17,61.51,اجتاحت روسيا أوكرانيا، وبدأ معها التهديد النووي وأكبر توتر عسكري يصير بأوربا من وقت الحرب العالمية الثانية .,53170,61510,0.99
00100.wav,ثمانية لحظات غيّرت 2022.mp3,72.53,80.33,في إيران اعتُقلت وقُتلت مهسا أميني من شرطة الأخلاق. و بدت معها مظاهرات في كل مكان، و,72530,80330,1.0
00101.wav,ثمانية لحظات غيّرت 2022.mp3,95.52,101.1,وهدّد إيلون ماسك تويتر في صفقة راحت ورجعت في المحاكم وانتهت بشراءه ل تويتر بـ 44 م,95520,101100,0.99
00102.wav,ثمانية لحظات غيّرت 2022.mp3,105.18,118.02,صارت أبل أول شركة بالتاريخ تتجاوز قيمتها 3 تريليون دولار . وأطلقت أوبن إي آي تطبيقها الجديد اللي أذهل الناس، تشات جي بي تي واللي ممكن يصير,105180,118020,0.99
00103.wav,ثمانية لحظات غيّرت 2022.mp3,118.02,124.11,محرك البحث الجاي. اللي هو عبارة عن محادثة مع ذكاء اصطناعي يجاوبك على أي شي في بالك.,118020,124110,0.99
00104.wav,ثمانية لحظات غيّرت 2022.mp3,127.83,133.66,هذي السنة تجددت أسئلة زيادة عن مصير الكوكب . ففي العراق آلاف العوائل,127830,133660,0.99
00105.wav,ثمانية لحظات غيّرت 2022.mp3,139.56,150.21,وفي مصر زادت التوترات أكثر مع أثيوبيا على حصة الدولتين من نهر النيل . وأنهار تتحول لأرض قاحلة في أوربا في أسوأ أزمة جفاف من 500 سنة .,139560,150210,0.99
00106.wav,ثمانية لحظات غيّرت 2022.mp3,156.1,163.69,بعيد عن الكوكب، قطاع الفضاء هذي السنة كان حافل . أطلقت ناسا تلسكوبها الجديد جيمس ويب ، واللي صار عيننا على,156100,163690,0.99
00107.wav,ثمانية لحظات غيّرت 2022.mp3,174.72,179.25,وبدت الصين أول رحلاتها لبناء محطتها الفضائية . ونجحت,174720,179250,0.99
00108.wav,ثمانية لحظات غيّرت 2022.mp3,179.25,182.88,ناسا لأول مرة في تغيير مسار كويكب، وبدت رحلات,179250,182880,1.0
00109.wav,ثمانية لحظات غيّرت 2022.mp3,182.88,187.08,برنامج أرتميس اللي بيرجّع الإنسان، ولأول مرة بعد 50 سنة,182880,187080,1.0
00110.wav,ثمانية لحظات غيّرت 2022.mp3,198.28,206.95,ومن جانب ثاني التضخم وصل لأعلى مستوياته من 40 سنة. وارتفعت معه معدلات الفائدة . وبدينا نسمع عن مخاوف ركود السنة الجاية .,198280,206950,0.99
00111.wav,ثمانية لحظات غيّرت 2022.mp3,209.14,212.71,وهذي السنة صارت فيه تغييرات واجد في الحكومات حول العالم .,209140,212710,0.99
00113.wav,ثمانية لحظات غيّرت 2022.mp3,230.08,236.35,وفي الإمارات انتُخب محمد بن زايد كثالث رئيس للدولة . وفي فرنسا فاز ماكرون بإعادة انتخابه .,230080,236350,0.95
00115.wav,ثمانية لحظات غيّرت 2022.mp3,256.86,261.34,بلبنان فانتهت السنة ومقعد الرئيس من شهرين شاغر .,256860,261339,1.0
00116.wav,ثمانية لحظات غيّرت 2022.mp3,279.58,282.61,والسرطان والسمنة. وفي,279580,282610,1.0
00117.wav,ثمانية لحظات غيّرت 2022.mp3,282.61,285.61,فلسطين قدام الكاميرات اغتال الاحتلال,282610,285610,1.0
00118.wav,ثمانية لحظات غيّرت 2022.mp3,285.61,295.1,الإسرائيلي الصحافية شيرين أبو عاقلة . وبحسب,285610,295100,1.0
00119.wav,ثمانية لحظات غيّرت 2022.mp3,300.68,308.52,قوات الاحتلال الآن تقتحم المستشفى وتعتدي على الشبان الذين أصروا على حمل الجثمان .,300680,308520,0.99
00121.wav,ثمانية لحظات غيّرت 2022.mp3,320.93,325.46,وفي السعودية زار الرياض في نص السنة الرئيس الأمريكي، وفي نهايتها الرئيس الصيني .,320930,325460,0.97
00122.wav,ثمانية لحظات غيّرت 2022.mp3,333.65,339.65,وأعلن صندوق الاستثمارات العامة عن مختلف مشاريعه. شركة سيارات كهربائية جديدة ، وخطوط,333650,339650,0.98
00125.wav,ثمانية لحظات غيّرت 2022.mp3,354.98,359.84,تتويجه بشت. صارت المباراة اللي اعتبرها الفيفا من أغرب تاريخ كأس,354980,359840,1.0
00126.wav,ثمانية لحظات غيّرت 2022.mp3,359.84,362.98,العالم، لما فازت السعودية على مرشح البطولة .,359840,362980,0.99
00127.wav,ثمانية لحظات غيّرت 2022.mp3,371.67,377.51,بعد هذي الأحداث. الحلقة 100 من بودكاست الفجر، نودّع السنة برحلة على ثمان لحظات,371670,377510,0.99
00128.wav,ثمانية لحظات غيّرت 2022.mp3,387.09,398.82,في فبراير وبعد ثمان سنين بالضبط من غزو جزيرة القرم، اجتاحت هالمرة روسيا ، كل الحدود الشرقية لأوكرانيا ، وبدأ معها أكبر توتر عسكري واقتصادي تشهده أوربا من وقت الحرب العالمية الثانية . في بداية الغاز توقعنا أحد,387090,398820,0.99
00129.wav,ثمانية لحظات غيّرت 2022.mp3,398.82,410.79,احتمالين إما أن أوكرانيا بتنهار بسرعة وبتحقّق روسيا هدفها من الغزو اللي هو تغيير نظام أوكرانيا ، أو أن بعدها بكم أسبوع الأزمة بتنحل باتفاق الطرفين . وبعد 100 يوم من الحرب روسيا كانت نسبيًّا ناجحة، و,398820,410790,0.99
00132.wav,ثمانية لحظات غيّرت 2022.mp3,434.49,440.16,روسيا أوكرانيا، يصدرون ربع إنتاج القمح العالمي، ونص منتجات دوّار الشمس مثل البذور والزيت.,434490,440160,0.99
00133.wav,ثمانية لحظات غيّرت 2022.mp3,440.58,446.58,وروسيا هي المصدر الأول للأسمدة الزراعية . وفي أوربا الدول الإسكندنافية مثل فنلندا والسويد اللي,440580,446580,0.99
00134.wav,ثمانية لحظات غيّرت 2022.mp3,446.58,452.55,كانوا من قبل في موقف الحياد بين روسيا وأوربا، قرروا بعد الحرب ينضمون للناتو. وارتفع تكلفة الطاقة,446580,452550,0.99
00135.wav,ثمانية لحظات غيّرت 2022.mp3,452.55,458.28,على أوربا بسبب الحرب أكثر من تريليون دولار . واجهوا الدول الأوروبية انقطاعات متكررة بإمدادات الغاز من,452550,458280,0.99
00136.wav,ثمانية لحظات غيّرت 2022.mp3,458.28,463.77,روسيا بخطوط نورد ستريم اللي تربط بينهم . واللي كانت تبرّر روسيا بأنها أعمال صيانة، ومرة أنه بسبب,458280,463770,0.99
00137.wav,ثمانية لحظات غيّرت 2022.mp3,463.77,469.4,تسريبات، ومرات بسبب أعمال تخريبية. و هالشي وصّل استهلاك الفحم اللي صار يُستخدم كبديل,463770,469400,1.0
00138.wav,ثمانية لحظات غيّرت 2022.mp3,469.41,475.53,لغاز الأعلى معدل تاريخي هالسنة . ومع هالنقص بدت أوربا تستورد غاز من أكثر من خيار مختلف مثل,469410,475530,0.99
00139.wav,ثمانية لحظات غيّرت 2022.mp3,475.53,481.32,أمريكا والجزائر وقطر . ومن الجهة الثانية ، بدت روسيا تبحث عن أسواق بديلة لتصدير غازها مثل,475530,481320,1.0
00140.wav,ثمانية لحظات غيّرت 2022.mp3,481.32,487.5,الصين وتركيا . وبنهاية السنة أعلن الاتحاد الأوروبي عن سقف سعري للنفط والغاز الروسي، وهو اللي بيزيد من تعقيدات,481320,487500,0.99
00141.wav,ثمانية لحظات غيّرت 2022.mp3,492.97,500.02,بعد ما صار هذا الشيء آخر مرة في الحرب الباردة . رجعنا نسمع هذه السنة مرة ثانية عن التهديد النووي، مو,492970,500020,0.99
00142.wav,ثمانية لحظات غيّرت 2022.mp3,500.02,506.83,بس من روسيا حتى في إيران، اللي تعثرت هذي السنة مفاوضاتها للاتفاق النووي ، وبدت تسرّع من عمليات,500020,506830,0.99
00144.wav,ثمانية لحظات غيّرت 2022.mp3,515.35,530.68,وفي نفس الوقت شهدت أكبر مظاهرات من بعد الثورة الخضراء في 2009 اللي رغم أنها بدت بعد اعتقال ثم قتل النظام لمهسا أميني. إلا أن دوافعها مختلفة ومتعدّدة، يمكن أهمها الضغط الاقتصادي اللي يعيشه الشعب الإيراني، واللي,515350,530680,0.97
00145.wav,ثمانية لحظات غيّرت 2022.mp3,530.68,545.23,يعيش أكثر من 60% منه تحت خط الفقر . بس اللي كان مختلف هذي المرة، هو انتشارها السريع بمختلف مناطق إيران، واستمرارها بوتيرة عالية أكثر من ثلاث شهور . حتى مواجهة الإيرانيين فيها,530680,545230,0.99
00146.wav,ثمانية لحظات غيّرت 2022.mp3,545.23,560.74,للمرشد الأعلى بشعار الموت للديكتاتور . وخلال هذي الثلاث شهور وصل عدد ضحايا المواجهة بين المحتجين لقوات النظام لأكثر من 450 وفاة. ومع استمرار الاحتجاجات وزيادة حدتها من الجهتين، قرّرت,545230,560740,0.99
00147.wav,ثمانية لحظات غيّرت 2022.mp3,560.74,575.98,إيران تحل شرطة الأخلاق، واللي كانت السبب باعتقال ووفاة مهسا أميني. وبنفس الوقت سبب بانضمام عدد كبير من النساء الإيرانيات للمظاهرات بعد ما كانت تضيّق عليهم شرطة الأخلاق بالسنين اللي راحت . ورغم هذا التنازل من النظام ، إلا,560740,575980,0.96
00151.wav,ثمانية لحظات غيّرت 2022.mp3,603.34,612.16,لكن الباحثين وصلوا ل نتيجة مختلفة وغريبة، وهي أن هالموجة بتصير بدال كل 400 سنة، بتجي كل 20 سنة. وبصيف هالسنة تصدّرت عناوين الأخبار,603340,612160,0.99
00153.wav,ثمانية لحظات غيّرت 2022.mp3,620.92,629.77,درجة ، واللي خلالها مات أكثر من 3 آلاف شخص. وحول غابات العالم اجتاحت الحرائق الأمازون وفي الجزائر وفي كاليفورنيا وفي أكثر من,620920,629770,0.98
00155.wav,ثمانية لحظات غيّرت 2022.mp3,638.47,647.34,العالم ، التصحّر والجفاف مثل اللي صار ب أكبر بحيرة للماء العذب في الصين، اللي ه السنة جف أكثر من ثلثينها ، وخلّت الصين تعلن ولأول مرة عن حالة,638470,647340,0.99
00156.wav,ثمانية لحظات غيّرت 2022.mp3,647.35,656.71,تأهب وطنية للجفاف . ونفس الشيء تقريبًا بالعراق، اللي وصل فيها مستوى نهر دجلة لأقل مستوى بتاريخه، وخلّت هالسنة أقسى سنين الجفاف بالعراق من 90 سنة,647350,656710,0.99
00157.wav,ثمانية لحظات غيّرت 2022.mp3,665.83,669.52,أما بدول الخليج فه السنة شهدت أكثر من حالة عواصف ترابية ورعدية،,665830,669520,0.98
00158.wav,ثمانية لحظات غيّرت 2022.mp3,669.67,673.36,بالإضافة للسيول والفيضانات لمستويات تاريخية بالإمارات وعمان وقطر .,669670,673360,1.0
00159.wav,ثمانية لحظات غيّرت 2022.mp3,673.66,677.38,وحسب أكثر من منظمة دولية مثل البنك الدولي، استمرار ها لنمط نفسه من,673660,677380,0.99
00160.wav,ثمانية لحظات غيّرت 2022.mp3,677.38,681.67,التغير المناخي، يعني درجات الحرارة بالخليج ممكن بعد 30 سنة توصل,677380,681670,0.98
00161.wav,ثمانية لحظات غيّرت 2022.mp3,681.67,685.36,لأكثر من 60 درجة، وهالشي بيضاعف تحديّات التصحر وأزمات,681670,685360,0.99
00162.wav,ثمانية لحظات غيّرت 2022.mp3,697.33,703.99,في بداية هذي السنة وصل تلسكوب ناسا الجديد، جيمس ويب، لمداره اللي يبعد الأرض مليون ونص كيلومتر . وهذي,697330,703990,0.99
00163.wav,ثمانية لحظات غيّرت 2022.mp3,703.99,712.27,الرحلة اللي أخذت تقريبًا شهر، كلّفت ناسا أكثر من 10 مليار دولار. وكانوا يجهزون لها من 1987 يعني,703990,712270,0.99
00164.wav,ثمانية لحظات غيّرت 2022.mp3,712.33,719.11,قبل أكثر من 35 سنة، عشان يكون العين الجديدة للبشر على أماكن بالكون ما كان يقدر التلسكوب اللي,712330,719110,0.99
00166.wav,ثمانية لحظات غيّرت 2022.mp3,726.07,732.88,التجهيز هو التعقيد التقني والهندسي لهذا التلسكوب. فعشان يقدر يصور الكون بدقة وحساسية أكثر من,726070,732880,0.98
